"Time (ms)","Recording (a.u.)"
1.000037880E1,2.746582031E-4
1.002121292E1,2.441406250E-4
1.004204705E1,2.746582031E-4
1.006288117E1,2.441406250E-4
1.008371529E1,1.525878906E-4
1.010454941E1,2.746582031E-4
1.012538354E1,1.525878906E-4
1.014621766E1,1.525878906E-4
1.016705178E1,2.136230469E-4
1.018788590E1,2.746582031E-4
1.020872003E1,9.155273438E-5
1.022955415E1,2.441406250E-4
1.025038827E1,1.831054688E-4
1.027122239E1,1.525878906E-4
1.029205652E1,2.441406250E-4
1.031289064E1,3.051757812E-5
1.033372476E1,2.746582031E-4
1.035455888E1,6.103515625E-5
1.037539301E1,1.525878906E-4
1.039622713E1,0.000000000E0
1.041706125E1,9.155273438E-5
1.043789537E1,1.220703125E-4
1.045872950E1,-9.155273438E-5
1.047956362E1,1.220703125E-4
1.050039774E1,3.051757812E-5
1.052123186E1,-3.051757812E-5
1.054206599E1,3.051757812E-5
1.056290011E1,-6.103515625E-5
1.058373423E1,0.000000000E0
1.060456835E1,-3.051757812E-5
1.062540248E1,-1.220703125E-4
1.064623660E1,-3.051757812E-5
1.066707072E1,-1.525878906E-4
1.068790484E1,-6.103515625E-5
1.070873897E1,-3.051757812E-5
1.072957309E1,-1.525878906E-4
1.075040721E1,0.000000000E0
1.077124133E1,-1.525878906E-4
1.079207546E1,-6.103515625E-5
1.081290958E1,-1.525878906E-4
1.083374370E1,-6.103515625E-5
1.085457782E1,-1.220703125E-4
1.087541195E1,-9.155273438E-5
1.089624607E1,-1.220703125E-4
1.091708019E1,-6.103515625E-5
1.093791431E1,-3.051757812E-5
1.095874844E1,-1.525878906E-4
1.097958256E1,-9.155273438E-5
1.100041668E1,-1.220703125E-4
1.102125080E1,-1.525878906E-4
1.104208493E1,-1.831054688E-4
1.106291905E1,-1.831054688E-4
1.108375317E1,-1.831054688E-4
1.110458729E1,-3.051757812E-5
1.112542142E1,-1.525878906E-4
1.114625554E1,-1.831054688E-4
1.116708966E1,-9.155273438E-5
1.118792378E1,3.051757812E-5
1.120875791E1,-1.831054688E-4
1.122959203E1,0.000000000E0
1.125042615E1,-6.103515625E-5
1.127126028E1,-9.155273438E-5
1.129209440E1,-9.155273438E-5
1.131292852E1,-6.103515625E-5
1.133376264E1,0.000000000E0
1.135459677E1,-1.831054688E-4
1.137543089E1,-9.155273438E-5
1.139626501E1,-2.441406250E-4
1.141709913E1,-3.051757812E-5
1.143793326E1,-3.356933594E-4
1.145876738E1,-1.525878906E-4
1.147960150E1,-6.103515625E-5
1.150043562E1,-2.136230469E-4
1.152126975E1,-1.220703125E-4
1.154210387E1,-2.441406250E-4
1.156293799E1,-9.155273438E-5
1.158377211E1,-2.746582031E-4
1.160460624E1,-1.831054688E-4
1.162544036E1,-1.525878906E-4
1.164627448E1,-1.525878906E-4
1.166710860E1,-2.746582031E-4
1.168794273E1,-2.746582031E-4
1.170877685E1,-2.441406250E-4
1.172961097E1,-3.967285156E-4
1.175044509E1,-2.746582031E-4
1.177127922E1,-2.136230469E-4
1.179211334E1,-2.441406250E-4
1.181294746E1,-3.051757812E-4
1.183378158E1,-3.662109375E-4
1.185461571E1,-3.662109375E-4
1.187544983E1,-4.577636719E-4
1.189628395E1,-4.272460938E-4
1.191711807E1,-5.187988281E-4
1.193795220E1,-4.882812500E-4
1.195878632E1,-4.577636719E-4
1.197962044E1,-6.713867188E-4
1.200045456E1,-4.577636719E-4
1.202128869E1,-6.103515625E-4
1.204212281E1,-6.103515625E-4
1.206295693E1,-4.272460938E-4
1.208379105E1,-7.019042969E-4
1.210462518E1,-6.103515625E-4
1.212545930E1,-6.713867188E-4
1.214629342E1,-6.713867188E-4
1.216712754E1,-6.408691406E-4
1.218796167E1,-6.408691406E-4
1.220879579E1,-5.798339844E-4
1.222962991E1,-6.103515625E-4
1.225046403E1,-4.882812500E-4
1.227129816E1,-6.408691406E-4
1.229213228E1,-5.493164062E-4
1.231296640E1,-6.713867188E-4
1.233380052E1,-5.493164062E-4
1.235463465E1,-6.408691406E-4
1.237546877E1,-4.577636719E-4
1.239630289E1,-5.187988281E-4
1.241713701E1,-5.493164062E-4
1.243797114E1,-5.798339844E-4
1.245880526E1,-5.493164062E-4
1.247963938E1,-5.798339844E-4
1.250047350E1,-6.408691406E-4
1.252130763E1,-4.272460938E-4
1.254214175E1,-6.103515625E-4
1.256297587E1,-4.577636719E-4
1.258380999E1,-6.713867188E-4
1.260464412E1,-6.713867188E-4
1.262547824E1,-7.324218750E-4
1.264631236E1,-6.408691406E-4
1.266714648E1,-7.324218750E-4
1.268798061E1,-6.103515625E-4
1.270881473E1,-5.798339844E-4
1.272964885E1,-7.019042969E-4
1.275048297E1,-6.408691406E-4
1.277131710E1,-7.324218750E-4
1.279215122E1,-5.493164062E-4
1.281298534E1,-7.019042969E-4
1.283381946E1,-6.713867188E-4
1.285465359E1,-5.798339844E-4
1.287548771E1,-6.408691406E-4
1.289632183E1,-5.493164062E-4
1.291715595E1,-7.019042969E-4
1.293799008E1,-5.798339844E-4
1.295882420E1,-4.577636719E-4
1.297965832E1,-6.103515625E-4
1.300049244E1,-4.882812500E-4
1.302132657E1,-4.882812500E-4
1.304216069E1,-5.187988281E-4
1.306299481E1,-5.493164062E-4
1.308382893E1,-5.798339844E-4
1.310466306E1,-4.577636719E-4
1.312549718E1,-5.798339844E-4
1.314633130E1,-5.187988281E-4
1.316716542E1,-4.272460938E-4
1.318799955E1,-5.187988281E-4
1.320883367E1,-4.577636719E-4
1.322966779E1,-5.493164062E-4
1.325050191E1,-3.967285156E-4
1.327133604E1,-3.356933594E-4
1.329217016E1,-3.662109375E-4
1.331300428E1,-2.746582031E-4
1.333383840E1,-2.441406250E-4
1.335467253E1,-2.746582031E-4
1.337550665E1,-2.136230469E-4
1.339634077E1,-2.441406250E-4
1.341717489E1,-1.831054688E-4
1.343800902E1,-1.831054688E-4
1.345884314E1,-2.441406250E-4
1.347967726E1,-6.103515625E-5
1.350051138E1,-6.103515625E-5
1.352134551E1,-6.103515625E-5
1.354217963E1,-6.103515625E-5
1.356301375E1,0.000000000E0
1.358384787E1,3.051757812E-5
1.360468200E1,-3.051757812E-5
1.362551612E1,1.220703125E-4
1.364635024E1,0.000000000E0
1.366718436E1,9.155273438E-5
1.368801849E1,0.000000000E0
1.370885261E1,0.000000000E0
1.372968673E1,1.220703125E-4
1.375052085E1,-9.155273438E-5
1.377135498E1,3.051757812E-5
1.379218910E1,-3.051757812E-5
1.381302322E1,-3.051757812E-5
1.383385734E1,9.155273438E-5
1.385469147E1,-9.155273438E-5
1.387552559E1,6.103515625E-5
1.389635971E1,3.051757812E-5
1.391719383E1,3.051757812E-5
1.393802796E1,-9.155273438E-5
1.395886208E1,-6.103515625E-5
1.397969620E1,9.155273438E-5
1.400053032E1,-1.220703125E-4
1.402136445E1,-1.220703125E-4
1.404219857E1,3.051757812E-5
1.406303269E1,-6.103515625E-5
1.408386681E1,0.000000000E0
1.410470094E1,-6.103515625E-5
1.412553506E1,1.220703125E-4
1.414636918E1,2.441406250E-4
1.416720330E1,-9.155273438E-5
1.418803743E1,1.831054688E-4
1.420887155E1,3.051757812E-5
1.422970567E1,9.155273438E-5
1.425053979E1,3.051757812E-5
1.427137392E1,-3.051757812E-5
1.429220804E1,1.525878906E-4
1.431304216E1,-3.051757812E-5
1.433387628E1,-9.155273438E-5
1.435471041E1,0.000000000E0
1.437554453E1,-6.103515625E-5
1.439637865E1,9.155273438E-5
1.441721277E1,-3.051757812E-5
1.443804690E1,0.000000000E0
1.445888102E1,6.103515625E-5
1.447971514E1,0.000000000E0
1.450054926E1,9.155273438E-5
1.452138339E1,-9.155273438E-5
1.454221751E1,-3.051757812E-5
1.456305163E1,6.103515625E-5
1.458388575E1,-1.220703125E-4
1.460471988E1,-3.051757812E-5
1.462555400E1,-6.103515625E-5
1.464638812E1,6.103515625E-5
1.466722224E1,-1.831054688E-4
1.468805637E1,-9.155273438E-5
1.470889049E1,-1.220703125E-4
1.472972461E1,-3.051757812E-5
1.475055873E1,-3.051757812E-5
1.477139286E1,-2.441406250E-4
1.479222698E1,-3.051757812E-5
1.481306110E1,-1.525878906E-4
1.483389522E1,-1.525878906E-4
1.485472935E1,-1.525878906E-4
1.487556347E1,-9.155273438E-5
1.489639759E1,-1.220703125E-4
1.491723171E1,-1.831054688E-4
1.493806584E1,-1.220703125E-4
1.495889996E1,-1.220703125E-4
1.497973408E1,-1.525878906E-4
1.500056820E1,-9.155273438E-5
1.502140233E1,-1.220703125E-4
1.504223645E1,-1.220703125E-4
1.506307057E1,-1.525878906E-4
1.508390469E1,-1.831054688E-4
1.510473882E1,-9.155273438E-5
1.512557294E1,-2.441406250E-4
1.514640706E1,-2.746582031E-4
1.516724118E1,-2.136230469E-4
1.518807531E1,-2.136230469E-4
1.520890943E1,-2.441406250E-4
1.522974355E1,-1.831054688E-4
1.525057767E1,-1.525878906E-4
1.527141180E1,-1.525878906E-4
1.529224592E1,-6.103515625E-5
1.531308004E1,-1.831054688E-4
1.533391416E1,-9.155273438E-5
1.535474829E1,-1.220703125E-4
1.537558241E1,-3.051757812E-5
1.539641653E1,-3.051757812E-5
1.541725065E1,-2.136230469E-4
1.543808478E1,-6.103515625E-5
1.545891890E1,-3.051757812E-5
1.547975302E1,-3.051757812E-5
1.550058714E1,-9.155273438E-5
1.552142127E1,3.051757812E-5
1.554225539E1,0.000000000E0
1.556308951E1,-6.103515625E-5
1.558392363E1,0.000000000E0
1.560475776E1,-6.103515625E-5
1.562559188E1,-6.103515625E-5
1.564642600E1,0.000000000E0
1.566726012E1,-6.103515625E-5
1.568809425E1,-1.220703125E-4
1.570892837E1,6.103515625E-5
1.572976249E1,-1.220703125E-4
1.575059661E1,-3.051757812E-5
1.577143074E1,3.051757812E-5
1.579226486E1,6.103515625E-5
1.581309898E1,-1.220703125E-4
1.583393310E1,-3.051757812E-5
1.585476723E1,6.103515625E-5
1.587560135E1,-1.220703125E-4
1.589643547E1,-9.155273438E-5
1.591726959E1,0.000000000E0
1.593810372E1,-3.051757812E-5
1.595893784E1,-1.220703125E-4
1.597977196E1,-6.103515625E-5
1.600060608E1,-1.525878906E-4
1.602144021E1,-3.051757812E-5
1.604227433E1,-1.525878906E-4
1.606310845E1,-1.525878906E-4
1.608394257E1,-2.136230469E-4
1.610477670E1,-2.136230469E-4
1.612561082E1,-9.155273438E-5
1.614644494E1,-2.746582031E-4
1.616727906E1,-1.525878906E-4
1.618811319E1,-1.831054688E-4
1.620894731E1,-2.136230469E-4
1.622978143E1,-9.155273438E-5
1.625061555E1,-1.525878906E-4
1.627144968E1,3.051757812E-5
1.629228380E1,-6.103515625E-5
1.631311792E1,-6.103515625E-5
1.633395204E1,-1.220703125E-4
1.635478617E1,-1.525878906E-4
1.637562029E1,-3.051757812E-5
1.639645441E1,-9.155273438E-5
1.641728853E1,-1.831054688E-4
1.643812266E1,-6.103515625E-5
1.645895678E1,-1.831054688E-4
1.647979090E1,-2.746582031E-4
1.650062502E1,-3.051757812E-4
1.652145915E1,-1.220703125E-4
1.654229327E1,-9.155273438E-5
1.656312739E1,-2.441406250E-4
1.658396151E1,3.051757812E-5
1.660479564E1,-1.831054688E-4
1.662562976E1,-2.136230469E-4
1.664646388E1,-1.220703125E-4
1.666729800E1,-1.831054688E-4
1.668813213E1,-1.525878906E-4
1.670896625E1,-2.746582031E-4
1.672980037E1,-3.051757812E-5
1.675063449E1,-2.441406250E-4
1.677146862E1,-1.831054688E-4
1.679230274E1,-1.220703125E-4
1.681313686E1,-3.356933594E-4
1.683397098E1,-9.155273438E-5
1.685480511E1,-3.662109375E-4
1.687563923E1,-2.136230469E-4
1.689647335E1,-2.746582031E-4
1.691730747E1,-2.746582031E-4
1.693814160E1,-3.356933594E-4
1.695897572E1,-4.272460938E-4
1.697980984E1,-1.831054688E-4
1.700064396E1,-3.356933594E-4
1.702147809E1,-3.662109375E-4
1.704231221E1,-2.746582031E-4
1.706314633E1,-3.662109375E-4
1.708398045E1,-2.746582031E-4
1.710481458E1,-3.662109375E-4
1.712564870E1,-3.051757812E-4
1.714648282E1,-2.136230469E-4
1.716731694E1,-3.051757812E-4
1.718815107E1,-3.356933594E-4
1.720898519E1,-3.051757812E-4
1.722981931E1,-1.525878906E-4
1.725065343E1,-2.136230469E-4
1.727148756E1,-2.136230469E-4
1.729232168E1,-1.220703125E-4
1.731315580E1,-6.103515625E-5
1.733398992E1,3.051757812E-5
1.735482405E1,-9.155273438E-5
1.737565817E1,-6.103515625E-5
1.739649229E1,3.051757812E-5
1.741732641E1,6.103515625E-5
1.743816054E1,-3.051757812E-5
1.745899466E1,9.155273438E-5
1.747982878E1,9.155273438E-5
1.750066290E1,3.051757812E-5
1.752149703E1,6.103515625E-5
1.754233115E1,6.103515625E-5
1.756316527E1,2.136230469E-4
1.758399939E1,9.155273438E-5
1.760483352E1,9.155273438E-5
1.762566764E1,2.136230469E-4
1.764650176E1,1.525878906E-4
1.766733588E1,2.441406250E-4
1.768817001E1,1.831054688E-4
1.770900413E1,2.136230469E-4
1.772983825E1,2.441406250E-4
1.775067237E1,2.746582031E-4
1.777150650E1,2.746582031E-4
1.779234062E1,3.356933594E-4
1.781317474E1,2.136230469E-4
1.783400886E1,3.662109375E-4
1.785484299E1,2.746582031E-4
1.787567711E1,3.356933594E-4
1.789651123E1,4.272460938E-4
1.791734535E1,1.831054688E-4
